Freq,Burst,Centrality,Sigma,PageRank,Keyword,Author,Year,Title,Source,Vol,Page,Half-life,ClusterID
7,,0.00,1.00,0.00,,West GB,2017,<html><b>...</b></html>,SCALE UNIVERSAL LAWS,0,0,1,-1
6,,0.00,1.00,0.00,,Cottineau C,2017,<html><b>...</b></html>,COMPUT ENVIRON URBAN,63,80,1,-1
4,,0.00,1.00,0.00,,Oliveira M,2017,<html><b>...</b></html>,PLOS ONE,12,0,1,-1
4,,0.00,1.00,0.00,,Gomez-lievano A,2017,<html><b>...</b></html>,NAT HUM BEHAV,1,0,1,-1
4,,0.00,1.00,0.00,,Caminha C,2017,<html><b>...</b></html>,PLOS ONE,12,0,1,-1
3,,0.00,1.00,0.00,,Facchini A,2017,<html><b>...</b></html>,APPL ENERG,186,86,1,-1
12,5.44,0.01,1.07,0.00,,Leitao JC,2016,<html><b>...</b></html>,ROY SOC OPEN SCI,3,0,2,-1
9,4.07,0.00,1.01,0.00,,Bettencourt LMA,2016,<html><b>...</b></html>,J R SOC INTERFACE,13,0,2,-1
8,,0.00,1.00,0.00,,Youn H,2016,<html><b>...</b></html>,J R SOC INTERFACE,13,0,2,-1
6,2.71,0.01,1.02,0.00,,Arcaute E,2016,<html><b>...</b></html>,ROY SOC OPEN SCI,3,0,2,-1
4,,0.00,1.00,0.00,,Ramaswami A,2016,<html><b>...</b></html>,SCIENCE,352,940,2,-1
4,,0.00,1.00,0.00,,Hanley QS,2016,<html><b>...</b></html>,PLOS ONE,11,0,2,-1
4,,0.00,1.00,0.00,,Fluschnik T,2016,<html><b>...</b></html>,ISPRS INT J GEO-INF,5,0,2,-1
3,,0.00,1.00,0.00,,van Raan AFJ,2016,<html><b>...</b></html>,PLOS ONE,11,0,2,-1
3,,0.00,1.00,0.00,,Mcphearson T,2016,<html><b>...</b></html>,BIOSCIENCE,66,198,2,-1
3,,0.04,1.00,0.00,,Henrich J,2016,<html><b>...</b></html>,SECRET OF OUR SUCCESS: HOW CULTURE IS DRIVING HUMAN EVOLUTION,0,0,0,-1
3,,0.01,1.00,0.00,,Henrich J,2016,<html><b>...</b></html>,P NATL ACAD SCI USA,113,0,1,-1
3,,0.00,1.00,0.00,,Cesaretti R,2016,<html><b>...</b></html>,PLOS ONE,11,0,2,-1
40,9.45,0.10,2.52,0.00,,Arcaute E,2015,<html><b>...</b></html>,J R SOC INTERFACE,12,0,2,-1
10,4.53,0.01,1.03,0.00,,Kennedy CA,2015,<html><b>...</b></html>,P NATL ACAD SCI USA,112,5985,2,-1
8,2.99,0.00,1.01,0.00,,Grauwin S,2015,<html><b>...</b></html>,GEOTECH ENVIRON,13,363,1,-1
7,,0.02,1.00,0.00,,Ortman SG,2015,<html><b>...</b></html>,SCI ADV,1,0,3,-1
7,,0.00,1.00,0.00,,Alves LGA,2015,<html><b>...</b></html>,PLOS ONE,10,0,3,-1
4,,0.00,1.00,0.00,,Steffen W,2015,<html><b>...</b></html>,ANTHROPOCENE REV,2,81,2,-1
4,,0.00,1.00,0.00,,Mohajeri N,2015,<html><b>...</b></html>,TRANSPORT RES D-TR E,35,116,2,-1
4,,0.00,1.00,0.00,,Dorsogna MR,2015,<html><b>...</b></html>,PHYS LIFE REV,12,1,3,-1
3,,0.00,1.00,0.00,,Steffen W,2015,<html><b>...</b></html>,SCIENCE,347,0,2,-1
3,,0.00,1.00,0.00,,Paldino S,2015,<html><b>...</b></html>,EPJ DATA SCI,4,0,1,-1
3,,0.00,1.00,0.00,,Murcio R,2015,<html><b>...</b></html>,PHYS REV E,92,0,2,-1
3,,0.01,1.00,0.00,,Creutzig F,2015,<html><b>...</b></html>,P NATL ACAD SCI USA,112,6283,3,-1
3,,0.00,1.00,0.00,,Alves LGA,2015,<html><b>...</b></html>,EPL-EUROPHYS LETT,111,0,2,-1
2,,0.00,1.00,0.00,,Zhao SQ,2015,<html><b>...</b></html>,ENVIRON SCI TECHNOL,49,9600,4,-1
